Era,Count
南朝宋元嘉十七年,1
南朝宋元嘉二十六年,1
北魏皇兴二年,1
高昌延昌二十五年,1
高昌延昌二十七年,3
东汉永兴二年,1
东汉永元十年,2
明弘治五年,1
大顺,1
东汉建宁,3
高昌延昌七年,2
高昌延昌十一年,1
高昌延昌九年,1
高昌延昌十二年,2
高昌延昌三十七年,1
明正统十二年,1
北魏熙平三年,1
东汉建和元年,1
东汉永建四年,1
东汉永元八年,2
明正德元年,1
东汉永建,9
东汉永建二年,1
东汉永建三年,4
东汉永平三年,1
高昌延寿八年,2
明宣德十九年,1
明天启三年,1
明永乐六年,1
北齐河清,1
北齐乾定元年,1
高昌延和七年,1
高昌延和八年,2
高昌延和十年,1
高昌延和十一年,1
高昌延和十二年,1
高昌义和五年,1
武周天授二年,1
武周久视元年,2
清嘉庆二十六年,1
东汉阳嘉,2
高昌延昌三年,2
高昌延昌五年,2
唐太和六年,1
唐宝历元年,1
唐咸通十一年,3
东汉永和七年,1
晋永嘉元年,1
东汉永嘉元年,1
唐大中元年,2
唐开成三年,1
唐元和十四年,2
高昌延昌四十一年,2
高昌延昌二年,1
高昌延和元年,1
高昌延和二年,1
高昌延和四年,1
唐开元十二年,2
唐贞元十八年,1
唐乾宁五年,3
唐元和十五年,4
唐咸亨五年,2
唐开元十四年,1
唐景龙三年,1
唐元和十年,2
唐贞元十年,1
唐长庆三年,2
梁大同,1
辽天庆四年,1
北宋元丰二年,1
北宋雍熙二年,1
明成化五年,1
东晋大兴元年,1
西晋泰始七年,1
西晋太康元年,1
西晋太康九年,2
晋元康八年,1
西晋太康十年,1
东晋泰始三年,1
西晋建始,1
西晋永嘉元年,6
西晋泰始,1
西晋咸宁元年,1
西晋元康,1
西晋永熙,1
西晋太康五年,1
西晋太康年,1
西晋元康六年,1
高昌延寿九年,5
高昌延寿十年,1
高昌延寿十一年,2
宋重和二年,1
宋治平元年,1
北宋元丰三年,1
东晋隆安三年,2
明万历十三年,1
高昌重光三年,2
高昌章和七年,1
高昌章和十八年,1
高昌建昌三年,1
高昌建昌四年,1
高昌延昌元年,1
西晋元康五年,1
西晋太康六年,1
西晋太康八年,1
高昌延昌二十八年,2
高昌延昌二十九年,1
高昌延昌三十四年,1
高昌延昌三十一年,2
高昌延昌三十二年,1
高昌延昌三十三年,1
高昌延昌三十五年,1
南宋绍兴,1
北魏武定五年,1
北魏熙平二年,1
北魏孝昌二年,2
高昌义和三年,1
高昌延昌二十年,1
高昌延昌三十八年,1
高昌延寿十三年,2
高昌延寿十五年,1
北魏延昌二年,1
唐贞元六年,1
高昌永平二年,2
高昌建昌二年,1
高昌和平四年,1
高昌建昌五年,1
高昌重光二年,1
前凉太始三年,2
北魏正始,1
南朝梁天监六年,1
南朝梁普通六年,1
南朝梁大同六年,1
南朝梁,1
高昌义和二年,1
高昌义和四年,2
高昌延寿四年,2
高昌延寿七年,1
高昌延昌三十六年,1
高昌延昌三十九年,1
唐太和八年,2
唐元和四年,1
唐贞元十九年,1
唐贞元八年,2
唐大中六年,2
唐会昌五年,1
唐大中十年,3
唐会昌元年,2
东汉建宁元年,1
东汉元嘉,1
唐大中十一年,1
唐开成四年,2
唐元和八年,3
唐元和十一年,3
北宋政和年,1
南朝宋元嘉二年,1
唐天宝七年,3
唐开成二年,1
唐大中二十一年,1
